iter	Passed	Remaining
0	3	353
1	7	367
2	10	346
3	12	304
4	15	302
5	18	290
6	21	285
7	23	272
8	25	259
9	27	246
10	28	233
11	30	220
12	31	210
13	32	201
14	33	192
15	34	183
16	36	176
17	37	170
18	38	163
19	39	157
20	40	150
21	40	144
22	41	139
23	42	134
24	43	129
25	44	125
26	44	121
27	45	117
28	46	114
29	47	110
30	47	106
31	48	103
32	49	100
33	50	97
34	50	94
35	51	91
36	52	88
37	52	86
38	53	83
39	54	81
40	55	79
41	55	76
42	56	74
43	56	72
44	57	70
45	57	67
46	58	65
47	59	64
48	59	62
49	60	60
50	60	58
51	61	56
52	62	55
53	62	53
54	63	51
55	64	50
56	64	48
57	65	47
58	65	45
59	66	44
60	66	42
61	67	41
62	67	39
63	68	38
64	68	37
65	69	35
66	69	34
67	70	33
68	70	31
69	71	30
70	72	29
71	72	28
72	73	27
73	74	26
74	74	24
75	75	23
76	75	22
77	76	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	80	15
84	80	14
85	81	13
86	81	12
87	82	11
88	82	10
89	82	9
90	83	8
91	83	7
92	84	6
93	85	5
94	85	4
95	86	3
96	86	2
97	87	1
98	87	0
99	88	0
